comment,cleaning,normalisasi,tokenize,stopword
"Gak semudah itu ngoding dengan AI, ada triknya dan itu tidak mudah",gak semudah itu ngoding dengan ai ada triknya dan itu tidak mudah,tidak semudah itu coding dengan artificialintelligence ada triknya dan itu tidak mudah,"['tidak', 'semudah', 'itu', 'coding', 'dengan', 'artificialintelligence', 'ada', 'triknya', 'dan', 'itu', 'tidak', 'mudah']",semudah coding artificialintelligence triknya mudah
"bener bangett, gw akhirnya belajar ngoding sejak lulus karena penasaran doang. cuma modal belajar di YouTube, Al, Course gratongg, sama komunitas cepet banget weh, udah bisa buat project kecil²an (meski pasti fundamental nya masih ibaratnya gundul, lupa², harus buka² google lagi, dan masih harus ngelihat refrensi, kaga pure codingan sendiri). meanwhile org yg belajar dari kecil atau dulu harus kursus dan ngeluangin waktu berjam-jam, keren kalian semuanya yg melalui itu!",bener bangett gw akhirnya belajar ngoding sejak lulus karena penasaran doang cuma modal belajar di youtube al course gratongg sama komunitas cepet banget weh udah bisa buat project kecil an meski pasti fundamental nya masih ibaratnya gundul lupa harus buka google lagi dan masih harus ngelihat refrensi kaga pure codingan sendiri meanwhile org yg belajar dari kecil atau dulu harus kursus dan ngeluangin waktu berjam jam keren kalian semuanya yg melalui itu,benar banget gue akhirnya belajar coding sejak lulus karena penasaran doang cuma modal belajar di youtube al course gratongg sama komunitas cepat banget weh sudah bisa buat project kecil an meski pasti fundamental ya masih ibaratnya gundul lupa harus buka google lagi dan masih harus melihat refrensi kagak pure coding sendiri meanwhile orang yang belajar dari kecil atau dulu harus kursus dan ngeluangin waktu berjam jam keren kalian semuanya yang melalui itu,"['benar', 'banget', 'gue', 'akhirnya', 'belajar', 'coding', 'sejak', 'lulus', 'karena', 'penasaran', 'doang', 'cuma', 'modal', 'belajar', 'di', 'youtube', 'al', 'course', 'gratongg', 'sama', 'komunitas', 'cepat', 'banget', 'weh', 'sudah', 'bisa', 'buat', 'project', 'kecil', 'an', 'meski', 'pasti', 'fundamental', 'ya', 'masih', 'ibaratnya', 'gundul', 'lupa', 'harus', 'buka', 'google', 'lagi', 'dan', 'masih', 'harus', 'melihat', 'refrensi', 'kagak', 'pure', 'coding', 'sendiri', 'meanwhile', 'orang', 'yang', 'belajar', 'dari', 'kecil', 'atau', 'dulu', 'harus', 'kursus', 'dan', 'ngeluangin', 'waktu', 'berjam', 'jam', 'keren', 'kalian', 'semuanya', 'yang', 'melalui', 'itu']",banget gue belajar coding lulus penasaran doang modal belajar youtube al course gratongg komunitas cepat banget weh project an fundamental ya gundul lupa buka google refrensi kagak pure coding meanwhile orang belajar kursus ngeluangin berjam jam keren
"AI itu perpustakaan modern bukan jawaban untuk semua masalah wkkwkw, AI gk punya fundamental coder itu sendiri.",ai itu perpustakaan modern bukan jawaban untuk semua masalah wkkwkw ai gk punya fundamental coder itu sendiri,artificialintelligence itu perpustakaan modern bukan jawaban untuk semua masalah wkkwkw artificialintelligence tidak punya fundamental coder itu sendiri,"['artificialintelligence', 'itu', 'perpustakaan', 'modern', 'bukan', 'jawaban', 'untuk', 'semua', 'masalah', 'wkkwkw', 'artificialintelligence', 'tidak', 'punya', 'fundamental', 'coder', 'itu', 'sendiri']",artificialintelligence perpustakaan modern wkkwkw artificialintelligence fundamental coder
"Kalau hanya ngetik dan bikin code, tanpa ikut memberikan ide dan solusi menurut saya pasti tergantikan.<br>Saya ga bisa ngoding, tapi punya konsep bagaimana sebuah software yang dibutuhkan, ui nya harus gimana, flownya dan logik didalamnya.<br>Sudah saya buktikan pakai cursor ai, lewat agentnya saya bisa buat software POS yang custom sesuai kebutuhan yang saya idam2kan kurang dr 2 minggu, tanpa mengetik satu pun code line. Amazing!",kalau hanya ngetik dan bikin code tanpa ikut memberikan ide dan solusi menurut saya pasti tergantikan saya ga bisa ngoding tapi punya konsep bagaimana sebuah software yang dibutuhkan ui nya harus gimana flownya dan logik didalamnya sudah saya buktikan pakai cursor ai lewat agentnya saya bisa buat software pos yang custom sesuai kebutuhan yang saya idam kan kurang dr minggu tanpa mengetik satu pun code line amazing,kalau hanya mengetik dan bikin code tanpa ikut memberikan ide dan solusi menurut saya pasti tergantikan saya tidak bisa coding tapi punya konsep bagaimana sebuah software yang dibutuhkan ui ya harus bagaimana flownya dan logik didalamnya sudah saya buktikan pakai cursor artificialintelligence lewat agentnya saya bisa buat software pos yang custom sesuai kebutuhan yang saya idam kan kurang dari minggu tanpa mengetik satu pun code line amazing,"['kalau', 'hanya', 'mengetik', 'dan', 'bikin', 'code', 'tanpa', 'ikut', 'memberikan', 'ide', 'dan', 'solusi', 'menurut', 'saya', 'pasti', 'tergantikan', 'saya', 'tidak', 'bisa', 'coding', 'tapi', 'punya', 'konsep', 'bagaimana', 'sebuah', 'software', 'yang', 'dibutuhkan', 'ui', 'ya', 'harus', 'bagaimana', 'flownya', 'dan', 'logik', 'didalamnya', 'sudah', 'saya', 'buktikan', 'pakai', 'cursor', 'artificialintelligence', 'lewat', 'agentnya', 'saya', 'bisa', 'buat', 'software', 'pos', 'yang', 'custom', 'sesuai', 'kebutuhan', 'yang', 'saya', 'idam', 'kan', 'kurang', 'dari', 'minggu', 'tanpa', 'mengetik', 'satu', 'pun', 'code', 'line', 'amazing']",mengetik bikin code ide solusi tergantikan coding konsep software dibutuhkan ui ya flownya logik didalamnya buktikan pakai cursor artificialintelligence agentnya software pos custom sesuai kebutuhan idam minggu mengetik code line amazing
"Untuk saat ini AI masih terkendala butuh resource hardware yang besar biasanya lebih dari 8K token udah mulai lupa percakapan awal (Sliding Context Window) makanya untuk saat ini belum bisa buat aplikasi utuh sampai release walaupun jago prompting, ga tau kalo nanti ada hardware yang Optimize buat deep learning..",untuk saat ini ai masih terkendala butuh resource hardware yang besar biasanya lebih dari k token udah mulai lupa percakapan awal sliding context window makanya untuk saat ini belum bisa buat aplikasi utuh sampai release walaupun jago prompting ga tau kalo nanti ada hardware yang optimize buat deep learning,untuk saat ini artificialintelligence masih terkendala butuh resource hardware yang besar biasanya lebih dari ke token sudah mulai lupa percakapan awal sliding context window makanya untuk saat ini belum bisa buat aplikasi utuh sampai release walaupun jago prompting tidak tau kalau nanti ada hardware yang optimize buat deep learning,"['untuk', 'saat', 'ini', 'artificialintelligence', 'masih', 'terkendala', 'butuh', 'resource', 'hardware', 'yang', 'besar', 'biasanya', 'lebih', 'dari', 'ke', 'token', 'sudah', 'mulai', 'lupa', 'percakapan', 'awal', 'sliding', 'context', 'window', 'makanya', 'untuk', 'saat', 'ini', 'belum', 'bisa', 'buat', 'aplikasi', 'utuh', 'sampai', 'release', 'walaupun', 'jago', 'prompting', 'tidak', 'tau', 'kalau', 'nanti', 'ada', 'hardware', 'yang', 'optimize', 'buat', 'deep', 'learning']",artificialintelligence terkendala butuh resource hardware token lupa percakapan sliding context window aplikasi utuh release jago prompting tau hardware optimize deep learning
"gw programmer, adanya AI malah ngebantu banget buat ngerjain task. justru kalo AI lebih sempurna lagi makin mudah dan cepat buat kita ngoding",gw programmer adanya ai malah ngebantu banget buat ngerjain task justru kalo ai lebih sempurna lagi makin mudah dan cepat buat kita ngoding,gue programmer adanya artificialintelligence malah membantu banget buat ngerjain task justru kalau artificialintelligence lebih sempurna lagi makin mudah dan cepat buat kita coding,"['gue', 'programmer', 'adanya', 'artificialintelligence', 'malah', 'membantu', 'banget', 'buat', 'ngerjain', 'task', 'justru', 'kalau', 'artificialintelligence', 'lebih', 'sempurna', 'lagi', 'makin', 'mudah', 'dan', 'cepat', 'buat', 'kita', 'coding']",gue programmer artificialintelligence membantu banget ngerjain task artificialintelligence sempurna mudah cepat coding
Dan semakin mudah semakin bnyk yg bisa dan semakin murah harganya😊,dan semakin mudah semakin bnyk yg bisa dan semakin murah harganya,dan semakin mudah semakin banyak yang bisa dan semakin murah harganya,"['dan', 'semakin', 'mudah', 'semakin', 'banyak', 'yang', 'bisa', 'dan', 'semakin', 'murah', 'harganya']",mudah murah harganya
"Kalau dimasa depan gatau ya, tapi buat sekarang, yang ga paham program , ga paham isi kodenya alurnya gimana, pakai chatgpt malah nambah pusing, dikira kita buat apa dia langsung bisa tanpa error.<br><br>Tak tes buat app berapakali iya sih lumayan bagus dan waktunya bisa lebih singkat, tapi, mereka itu saat ini sering ga bisa fix error :), dipaste errornya, misal chatgpt bakal nambah error lagi, kek gitu, udah beberapa kali coba bikin apps, errornya tak cari di forum buat fixnya, bukan copas ke AI nya, karena bakal mbulet muter doang ga selesai, bahkan beberapa kode program yang sepele kadang error dia ngasih solusinya malah makin banyak error V: kalau baris kodenya udah terlalu banyak.<br><br>Memudahkan iya, menggantikan :&#39;v buat sekarang belum bisa",kalau dimasa depan gatau ya tapi buat sekarang yang ga paham program ga paham isi kodenya alurnya gimana pakai chatgpt malah nambah pusing dikira kita buat apa dia langsung bisa tanpa error tak tes buat app berapakali iya sih lumayan bagus dan waktunya bisa lebih singkat tapi mereka itu saat ini sering ga bisa fix error dipaste errornya misal chatgpt bakal nambah error lagi kek gitu udah beberapa kali coba bikin apps errornya tak cari di forum buat fixnya bukan copas ke ai nya karena bakal mbulet muter doang ga selesai bahkan beberapa kode program yang sepele kadang error dia ngasih solusinya malah makin banyak error v kalau baris kodenya udah terlalu banyak memudahkan iya menggantikan v buat sekarang belum bisa,kalau dimasa depan ya tapi buat sekarang yang tidak paham program tidak paham isi kodenya alurnya bagaimana pakai chatgpt malah menambah pusing dikira kita buat apa dia langsung bisa tanpa error tak tes buat app berapakali iya sih lumayan bagus dan waktunya bisa lebih singkat tapi mereka itu saat ini sering tidak bisa fix error dipaste errornya misal chatgpt bakal menambah error lagi kayak begitu sudah beberapa kali coba bikin apps errornya tak cari di forum buat fixnya bukan copas ke artificialintelligence ya karena bakal mbulet muter doang tidak selesai bahkan beberapa kode program yang sepele kadang error dia mengasih solusinya malah makin banyak error v kalau baris kodenya sudah terlalu banyak memudahkan iya menggantikan v buat sekarang belum bisa,"['kalau', 'dimasa', 'depan', 'ya', 'tapi', 'buat', 'sekarang', 'yang', 'tidak', 'paham', 'program', 'tidak', 'paham', 'isi', 'kodenya', 'alurnya', 'bagaimana', 'pakai', 'chatgpt', 'malah', 'menambah', 'pusing', 'dikira', 'kita', 'buat', 'apa', 'dia', 'langsung', 'bisa', 'tanpa', 'error', 'tak', 'tes', 'buat', 'app', 'berapakali', 'iya', 'sih', 'lumayan', 'bagus', 'dan', 'waktunya', 'bisa', 'lebih', 'singkat', 'tapi', 'mereka', 'itu', 'saat', 'ini', 'sering', 'tidak', 'bisa', 'fix', 'error', 'dipaste', 'errornya', 'misal', 'chatgpt', 'bakal', 'menambah', 'error', 'lagi', 'kayak', 'begitu', 'sudah', 'beberapa', 'kali', 'coba', 'bikin', 'apps', 'errornya', 'tak', 'cari', 'di', 'forum', 'buat', 'fixnya', 'bukan', 'copas', 'ke', 'artificialintelligence', 'ya', 'karena', 'bakal', 'mbulet', 'muter', 'doang', 'tidak', 'selesai', 'bahkan', 'beberapa', 'kode', 'program', 'yang', 'sepele', 'kadang', 'error', 'dia', 'mengasih', 'solusinya', 'malah', 'makin', 'banyak', 'error', 'v', 'kalau', 'baris', 'kodenya', 'sudah', 'terlalu', 'banyak', 'memudahkan', 'iya', 'menggantikan', 'v', 'buat', 'sekarang', 'belum', 'bisa']",dimasa ya paham program paham isi kodenya alurnya pakai chatgpt menambah pusing langsung error tes app berapakali iya sih lumayan bagus singkat fix error dipaste errornya chatgpt menambah error kayak kali coba bikin apps errornya cari forum fixnya copas artificialintelligence ya mbulet muter doang selesai kode program sepele kadang error mengasih solusinya error v baris kodenya memudahkan iya menggantikan v
Yoi bang coding sekarang lebih simple dan mudah,yoi bang coding sekarang lebih simple dan mudah,yoi abang coding sekarang lebih simple dan mudah,"['yoi', 'abang', 'coding', 'sekarang', 'lebih', 'simple', 'dan', 'mudah']",yoi abang coding simple mudah
"tapi bisa jadi iya, apabila AI sudah bisa diajak meeting harian dan diberi task sesuai meeting, wah nih gawat mas",tapi bisa jadi iya apabila ai sudah bisa diajak meeting harian dan diberi task sesuai meeting wah nih gawat mas,tapi bisa jadi iya apabila artificialintelligence sudah bisa diajak meeting harian dan diberi task sesuai meeting wah nih gawat mas,"['tapi', 'bisa', 'jadi', 'iya', 'apabila', 'artificialintelligence', 'sudah', 'bisa', 'diajak', 'meeting', 'harian', 'dan', 'diberi', 'task', 'sesuai', 'meeting', 'wah', 'nih', 'gawat', 'mas']",iya artificialintelligence diajak meeting harian task sesuai meeting nih gawat mas
