comment,cleaning,normalisasi,tokenize,stopword
Programmer iya bakal punah. Tapi tidak untuk software engineer. Sekarang semua orang bisa coding pake AI tapi masalah design tetep manusia lebih baik untuk mendesain sesuai dengan kebutuhan mereka. Kalo di dunia kerja mungkin kita jadi supervisor yang anak buahnya sekarang adalah AI,programmer iya bakal punah tapi tidak untuk software engineer sekarang semua orang bisa coding pake ai tapi masalah design tetep manusia lebih baik untuk mendesain sesuai dengan kebutuhan mereka kalo di dunia kerja mungkin kita jadi supervisor yang anak buahnya sekarang adalah ai,programmer iya bakal punah tapi tidak untuk software engineer sekarang semua orang bisa coding pakai artificialintelligence tapi masalah design tetap manusia lebih baik untuk mendesain sesuai dengan kebutuhan mereka kalau di dunia kerja mungkin kita jadi supervisor yang anak buahnya sekarang adalah artificialintelligence,"['programmer', 'iya', 'bakal', 'punah', 'tapi', 'tidak', 'untuk', 'software', 'engineer', 'sekarang', 'semua', 'orang', 'bisa', 'coding', 'pakai', 'artificialintelligence', 'tapi', 'masalah', 'design', 'tetap', 'manusia', 'lebih', 'baik', 'untuk', 'mendesain', 'sesuai', 'dengan', 'kebutuhan', 'mereka', 'kalau', 'di', 'dunia', 'kerja', 'mungkin', 'kita', 'jadi', 'supervisor', 'yang', 'anak', 'buahnya', 'sekarang', 'adalah', 'artificialintelligence']",programmer iya punah software engineer orang coding pakai artificialintelligence design manusia mendesain sesuai kebutuhan dunia kerja supervisor anak buahnya artificialintelligence
"Nvidia sayangnya kurang ambisius , andai ambisius pasti bisa ngalahin google",nvidia sayangnya kurang ambisius andai ambisius pasti bisa ngalahin google,nvidia sayangnya kurang ambisius andai ambisius pasti bisa mengalahkan google,"['nvidia', 'sayangnya', 'kurang', 'ambisius', 'andai', 'ambisius', 'pasti', 'bisa', 'mengalahkan', 'google']",nvidia sayangnya ambisius andai ambisius mengalahkan google
Biasanya ai cuma buat trouble shooting aja kalau codingan error terus males nyari😂,biasanya ai cuma buat trouble shooting aja kalau codingan error terus males nyari,biasanya artificialintelligence cuma buat trouble shooting saja kalau coding error terus malas mencari,"['biasanya', 'artificialintelligence', 'cuma', 'buat', 'trouble', 'shooting', 'saja', 'kalau', 'coding', 'error', 'terus', 'malas', 'mencari']",artificialintelligence trouble shooting coding error malas mencari
"Programmer itu job utama nya membuat solusi atau problem solving dari suatu kasus atau kebutuhan, coding itu hanya salah satu proses development dan bkn keseluruhan proses pembuatan software, sedangkan AI itu bisa digunakan untuk mempermudah proses bkn menggantikan keseluruhan proses nya. Lgian AI mana yg udah bisa sampe di tahap deployment sampe berjalan mulus",programmer itu job utama nya membuat solusi atau problem solving dari suatu kasus atau kebutuhan coding itu hanya salah satu proses development dan bkn keseluruhan proses pembuatan software sedangkan ai itu bisa digunakan untuk mempermudah proses bkn menggantikan keseluruhan proses nya lgian ai mana yg udah bisa sampe di tahap deployment sampe berjalan mulus,programmer itu job utama ya membuat solusi atau problem solving dari suatu kasus atau kebutuhan coding itu hanya salah satu proses development dan bukan keseluruhan proses pembuatan software sedangkan artificialintelligence itu bisa digunakan untuk mempermudah proses bukan menggantikan keseluruhan proses ya lgian artificialintelligence mana yang sudah bisa sampai di tahap deployment sampai berjalan mulus,"['programmer', 'itu', 'job', 'utama', 'ya', 'membuat', 'solusi', 'atau', 'problem', 'solving', 'dari', 'suatu', 'kasus', 'atau', 'kebutuhan', 'coding', 'itu', 'hanya', 'salah', 'satu', 'proses', 'development', 'dan', 'bukan', 'keseluruhan', 'proses', 'pembuatan', 'software', 'sedangkan', 'artificialintelligence', 'itu', 'bisa', 'digunakan', 'untuk', 'mempermudah', 'proses', 'bukan', 'menggantikan', 'keseluruhan', 'proses', 'ya', 'lgian', 'artificialintelligence', 'mana', 'yang', 'sudah', 'bisa', 'sampai', 'di', 'tahap', 'deployment', 'sampai', 'berjalan', 'mulus']",programmer job utama ya solusi problem solving kebutuhan coding salah proses development proses pembuatan software artificialintelligence mempermudah proses menggantikan proses ya lgian artificialintelligence tahap deployment berjalan mulus
"sama kayak kemunculan wordpress dulu, programmer lumayan takut kehilangan pekerjaan karena wordpress tidak perlu koding sama sekali bisa buat website<br><br>tapi ya wordpress malah buka model pekerjaan lain, dan yang bisa koding tetap lebih baik dari pada yang hanya ngandelin tools semacam ai dan wordpress ini",sama kayak kemunculan wordpress dulu programmer lumayan takut kehilangan pekerjaan karena wordpress tidak perlu koding sama sekali bisa buat website tapi ya wordpress malah buka model pekerjaan lain dan yang bisa koding tetap lebih baik dari pada yang hanya ngandelin tools semacam ai dan wordpress ini,sama kayak kemunculan wordpress dulu programmer lumayan takut kehilangan pekerjaan karena wordpress tidak perlu koding sama sekali bisa buat website tapi ya wordpress malah buka model pekerjaan lain dan yang bisa koding tetap lebih baik dari pada yang hanya ngandelin tools semacam artificialintelligence dan wordpress ini,"['sama', 'kayak', 'kemunculan', 'wordpress', 'dulu', 'programmer', 'lumayan', 'takut', 'kehilangan', 'pekerjaan', 'karena', 'wordpress', 'tidak', 'perlu', 'koding', 'sama', 'sekali', 'bisa', 'buat', 'website', 'tapi', 'ya', 'wordpress', 'malah', 'buka', 'model', 'pekerjaan', 'lain', 'dan', 'yang', 'bisa', 'koding', 'tetap', 'lebih', 'baik', 'dari', 'pada', 'yang', 'hanya', 'ngandelin', 'tools', 'semacam', 'artificialintelligence', 'dan', 'wordpress', 'ini']",kayak kemunculan wordpress programmer lumayan takut kehilangan pekerjaan wordpress koding website ya wordpress buka model pekerjaan koding ngandelin tools artificialintelligence wordpress
"AI menciptakan programmer paling buruk menurut gw. Udah 2 orang programmer pemula yang gw temuin, dua-duanya belajar pake AI. Gak teliti sama sekali, blas, mereka gak tahu sama sekali gimana codingan tersebut bekerja. Bisa bikin halaman web keren, animasinya muter-muter kayak hacker, tapi gak tahu yang mana yang bikin gerak tersebut. Pengen misuh...",ai menciptakan programmer paling buruk menurut gw udah orang programmer pemula yang gw temuin dua duanya belajar pake ai gak teliti sama sekali blas mereka gak tahu sama sekali gimana codingan tersebut bekerja bisa bikin halaman web keren animasinya muter muter kayak hacker tapi gak tahu yang mana yang bikin gerak tersebut pengen misuh,artificialintelligence menciptakan programmer paling buruk menurut gue sudah orang programmer pemula yang gue temuin dua duanya belajar pakai artificialintelligence tidak teliti sama sekali blas mereka tidak tahu sama sekali bagaimana coding tersebut bekerja bisa bikin halaman web keren animasinya muter muter kayak hacker tapi tidak tahu yang mana yang bikin gerak tersebut pengin misuh,"['artificialintelligence', 'menciptakan', 'programmer', 'paling', 'buruk', 'menurut', 'gue', 'sudah', 'orang', 'programmer', 'pemula', 'yang', 'gue', 'temuin', 'dua', 'duanya', 'belajar', 'pakai', 'artificialintelligence', 'tidak', 'teliti', 'sama', 'sekali', 'blas', 'mereka', 'tidak', 'tahu', 'sama', 'sekali', 'bagaimana', 'coding', 'tersebut', 'bekerja', 'bisa', 'bikin', 'halaman', 'web', 'keren', 'animasinya', 'muter', 'muter', 'kayak', 'hacker', 'tapi', 'tidak', 'tahu', 'yang', 'mana', 'yang', 'bikin', 'gerak', 'tersebut', 'pengin', 'misuh']",artificialintelligence menciptakan programmer buruk gue orang programmer pemula gue temuin duanya belajar pakai artificialintelligence teliti blas coding bikin halaman web keren animasinya muter muter kayak hacker bikin gerak pengin misuh
"Secanggih apapun generate code dari chatgpt, kalo algoritma acak2an tetep aja chatgpt gak bisa geser pekerjaan programmer",secanggih apapun generate code dari chatgpt kalo algoritma acak an tetep aja chatgpt gak bisa geser pekerjaan programmer,secanggih apapun generate code dari chatgpt kalau algoritma acak an tetap saja chatgpt tidak bisa geser pekerjaan programmer,"['secanggih', 'apapun', 'generate', 'code', 'dari', 'chatgpt', 'kalau', 'algoritma', 'acak', 'an', 'tetap', 'saja', 'chatgpt', 'tidak', 'bisa', 'geser', 'pekerjaan', 'programmer']",secanggih apapun generate code chatgpt algoritma acak an chatgpt geser pekerjaan programmer
Kalo dipikir pake akal sehat manusia tetap memegang peranan penting dalam dunia IT. Jadi mau ada Al kek pasti ada error nya dan yang mampu mengendalikan adalah manusia,kalo dipikir pake akal sehat manusia tetap memegang peranan penting dalam dunia it jadi mau ada al kek pasti ada error nya dan yang mampu mengendalikan adalah manusia,kalau dipikir pakai akal sehat manusia tetap memegang peranan penting dalam dunia jadi mau ada al kayak pasti ada error ya dan yang mampu mengendalikan adalah manusia,"['kalau', 'dipikir', 'pakai', 'akal', 'sehat', 'manusia', 'tetap', 'memegang', 'peranan', 'penting', 'dalam', 'dunia', 'jadi', 'mau', 'ada', 'al', 'kayak', 'pasti', 'ada', 'error', 'ya', 'dan', 'yang', 'mampu', 'mengendalikan', 'adalah', 'manusia']",dipikir pakai akal sehat manusia memegang peranan dunia al kayak error ya mengendalikan manusia
"Kemampuan coding tetap penting hanya untuk menyusun coding dg AI jadi jauh lebih cepat, kita tidak harus susun semua detail codenya serahkan ke AI hanya menyusun potongan potongan blok program yang diberi AI tetap mengandalkan coder agar sesuai request",kemampuan coding tetap penting hanya untuk menyusun coding dg ai jadi jauh lebih cepat kita tidak harus susun semua detail codenya serahkan ke ai hanya menyusun potongan potongan blok program yang diberi ai tetap mengandalkan coder agar sesuai request,kemampuan coding tetap penting hanya untuk menyusun coding dengan artificialintelligence jadi jauh lebih cepat kita tidak harus susun semua detail codenya serahkan ke artificialintelligence hanya menyusun potongan potongan blok program yang diberi artificialintelligence tetap mengandalkan coder agar sesuai request,"['kemampuan', 'coding', 'tetap', 'penting', 'hanya', 'untuk', 'menyusun', 'coding', 'dengan', 'artificialintelligence', 'jadi', 'jauh', 'lebih', 'cepat', 'kita', 'tidak', 'harus', 'susun', 'semua', 'detail', 'codenya', 'serahkan', 'ke', 'artificialintelligence', 'hanya', 'menyusun', 'potongan', 'potongan', 'blok', 'program', 'yang', 'diberi', 'artificialintelligence', 'tetap', 'mengandalkan', 'coder', 'agar', 'sesuai', 'request']",kemampuan coding menyusun coding artificialintelligence cepat susun detail codenya serahkan artificialintelligence menyusun potongan potongan blok program artificialintelligence mengandalkan coder sesuai request
"Semua orang punya akses ke AI, tapi tidak semua orang bisa memanfaatkan AI",semua orang punya akses ke ai tapi tidak semua orang bisa memanfaatkan ai,semua orang punya akses ke artificialintelligence tapi tidak semua orang bisa memanfaatkan artificialintelligence,"['semua', 'orang', 'punya', 'akses', 'ke', 'artificialintelligence', 'tapi', 'tidak', 'semua', 'orang', 'bisa', 'memanfaatkan', 'artificialintelligence']",orang akses artificialintelligence orang memanfaatkan artificialintelligence
"jadi gini gais, tahun tahun kedepan coding website seluruh framework bisa jadi akan diubah menjadi drag and drop tanpa coding, seluruh fitur hanya pilih pilih saja klik klik saja, semua framework akan jadi drag and drop, dan bisa jadi ada fitur prompt code karena AI sudah di tahap 2",jadi gini gais tahun tahun kedepan coding website seluruh framework bisa jadi akan diubah menjadi drag and drop tanpa coding seluruh fitur hanya pilih pilih saja klik klik saja semua framework akan jadi drag and drop dan bisa jadi ada fitur prompt code karena ai sudah di tahap,jadi begini gais tahun tahun kedepan coding website seluruh framework bisa jadi akan diubah menjadi drag and drop tanpa coding seluruh fitur hanya pilih pilih saja klik klik saja semua framework akan jadi drag and drop dan bisa jadi ada fitur prompt code karena artificialintelligence sudah di tahap,"['jadi', 'begini', 'gais', 'tahun', 'tahun', 'kedepan', 'coding', 'website', 'seluruh', 'framework', 'bisa', 'jadi', 'akan', 'diubah', 'menjadi', 'drag', 'and', 'drop', 'tanpa', 'coding', 'seluruh', 'fitur', 'hanya', 'pilih', 'pilih', 'saja', 'klik', 'klik', 'saja', 'semua', 'framework', 'akan', 'jadi', 'drag', 'and', 'drop', 'dan', 'bisa', 'jadi', 'ada', 'fitur', 'prompt', 'code', 'karena', 'artificialintelligence', 'sudah', 'di', 'tahap']",gais kedepan coding website framework diubah drag and drop coding fitur pilih pilih klik klik framework drag and drop fitur prompt code artificialintelligence tahap
"Udh ada bro skrng teknologinya, namanya mendix",udh ada bro skrng teknologinya namanya mendix,sudah ada bro sekarang teknologinya namanya mendix,"['sudah', 'ada', 'bro', 'sekarang', 'teknologinya', 'namanya', 'mendix']",bro teknologinya namanya mendix
Ga ush nunggu tahun depan,ga ush nunggu tahun depan,tidak usah menunggu tahun depan,"['tidak', 'usah', 'menunggu', 'tahun', 'depan']",menunggu
Programmer diganti AI. Eh.... AI nya yg bikin programmer.. 😂 lawak.<br>Bnyk yg ngaku programmer. Tp bikin blog aja pake woordpress/cms.,programmer diganti ai eh ai nya yg bikin programmer lawak bnyk yg ngaku programmer tp bikin blog aja pake woordpress cms,programmer diganti artificialintelligence eh artificialintelligence ya yang bikin programmer lawak banyak yang mengaku programmer tapi bikin blog saja pakai woordpress cms,"['programmer', 'diganti', 'artificialintelligence', 'eh', 'artificialintelligence', 'ya', 'yang', 'bikin', 'programmer', 'lawak', 'banyak', 'yang', 'mengaku', 'programmer', 'tapi', 'bikin', 'blog', 'saja', 'pakai', 'woordpress', 'cms']",programmer diganti artificialintelligence eh artificialintelligence ya bikin programmer lawak mengaku programmer bikin blog pakai woordpress cms
tapi menurut saya sudah ada efeknya bang. kapitalis yang didukung teknologi menghasilkan pengangguran dan salah satu hasilnya tingkat kelahiran menurun. yah yang saya liat di komen orang2 pada nggak mau nikah karena ya biaya hidup tinggi dan sudah banyak pekerja yang di gantikan robot (contoh nyata amazon). nah setau saya ada politikus amerika yang ngasih solusi yaitu universal basic income . siapa tau mau di bahas😅😅😅,tapi menurut saya sudah ada efeknya bang kapitalis yang didukung teknologi menghasilkan pengangguran dan salah satu hasilnya tingkat kelahiran menurun yah yang saya liat di komen orang pada nggak mau nikah karena ya biaya hidup tinggi dan sudah banyak pekerja yang di gantikan robot contoh nyata amazon nah setau saya ada politikus amerika yang ngasih solusi yaitu universal basic income siapa tau mau di bahas,tapi menurut saya sudah ada efeknya abang kapitalis yang didukung teknologi menghasilkan pengangguran dan salah satu hasilnya tingkat kelahiran menurun ya yang saya lihat di komen orang pada tidak mau nikah karena ya biaya hidup tinggi dan sudah banyak pekerja yang di gantikan robot contoh nyata amazon nah setau saya ada politikus amerika yang mengasih solusi yaitu universal basic income siapa tau mau di bahas,"['tapi', 'menurut', 'saya', 'sudah', 'ada', 'efeknya', 'abang', 'kapitalis', 'yang', 'didukung', 'teknologi', 'menghasilkan', 'pengangguran', 'dan', 'salah', 'satu', 'hasilnya', 'tingkat', 'kelahiran', 'menurun', 'ya', 'yang', 'saya', 'lihat', 'di', 'komen', 'orang', 'pada', 'tidak', 'mau', 'nikah', 'karena', 'ya', 'biaya', 'hidup', 'tinggi', 'dan', 'sudah', 'banyak', 'pekerja', 'yang', 'di', 'gantikan', 'robot', 'contoh', 'nyata', 'amazon', 'nah', 'setau', 'saya', 'ada', 'politikus', 'amerika', 'yang', 'mengasih', 'solusi', 'yaitu', 'universal', 'basic', 'income', 'siapa', 'tau', 'mau', 'di', 'bahas']",efeknya abang kapitalis didukung teknologi menghasilkan pengangguran salah hasilnya tingkat kelahiran menurun ya lihat komen orang nikah ya biaya hidup pekerja gantikan robot contoh nyata amazon setau politikus amerika mengasih solusi universal basic income tau bahas
"Ai emang mendominasi di user space tapi kalau udah di kernel, mau prompt sebagus apapun ga akan mungkin bang",ai emang mendominasi di user space tapi kalau udah di kernel mau prompt sebagus apapun ga akan mungkin bang,artificialintelligence memang mendominasi di user space tapi kalau sudah di kernel mau prompt sebagus apapun tidak akan mungkin abang,"['artificialintelligence', 'memang', 'mendominasi', 'di', 'user', 'space', 'tapi', 'kalau', 'sudah', 'di', 'kernel', 'mau', 'prompt', 'sebagus', 'apapun', 'tidak', 'akan', 'mungkin', 'abang']",artificialintelligence mendominasi user space kernel prompt sebagus apapun abang
"gabakal punah selama ai masih ada, karena yang bikin Ai ya programmer itu sendiri",gabakal punah selama ai masih ada karena yang bikin ai ya programmer itu sendiri,punah selama artificialintelligence masih ada karena yang bikin artificialintelligence ya programmer itu sendiri,"['punah', 'selama', 'artificialintelligence', 'masih', 'ada', 'karena', 'yang', 'bikin', 'artificialintelligence', 'ya', 'programmer', 'itu', 'sendiri']",punah artificialintelligence bikin artificialintelligence ya programmer
2bln ini kerasa banget terbantukan ngerjain tugas2 dgn AI.  lumayan lah mehemat berfikir 😅,bln ini kerasa banget terbantukan ngerjain tugas dgn ai lumayan lah mehemat berfikir,bulan ini kerasa banget terbantukan ngerjain tugas dengan artificialintelligence lumayan lah mehemat berpikir,"['bulan', 'ini', 'kerasa', 'banget', 'terbantukan', 'ngerjain', 'tugas', 'dengan', 'artificialintelligence', 'lumayan', 'lah', 'mehemat', 'berpikir']",kerasa banget terbantukan ngerjain tugas artificialintelligence lumayan mehemat berpikir
"“Hey chat, fix this code”😂😂",hey chat fix this code,hey chat fix this code,"['hey', 'chat', 'fix', 'this', 'code']",hey chat fix this code
Bukan punah. Yg ada malah semua org bakal bisa jadi programmer.,bukan punah yg ada malah semua org bakal bisa jadi programmer,bukan punah yang ada malah semua orang bakal bisa jadi programmer,"['bukan', 'punah', 'yang', 'ada', 'malah', 'semua', 'orang', 'bakal', 'bisa', 'jadi', 'programmer']",punah orang programmer
"AI ga akan pernah menggantikan manusia, kalo mengeliminasi itu pasti. Seperti penggunaan mesin, yang mengeliminasi siapapun yang gagal beradaptasi.",ai ga akan pernah menggantikan manusia kalo mengeliminasi itu pasti seperti penggunaan mesin yang mengeliminasi siapapun yang gagal beradaptasi,artificialintelligence tidak akan pernah menggantikan manusia kalau mengeliminasi itu pasti seperti penggunaan mesin yang mengeliminasi siapapun yang gagal beradaptasi,"['artificialintelligence', 'tidak', 'akan', 'pernah', 'menggantikan', 'manusia', 'kalau', 'mengeliminasi', 'itu', 'pasti', 'seperti', 'penggunaan', 'mesin', 'yang', 'mengeliminasi', 'siapapun', 'yang', 'gagal', 'beradaptasi']",artificialintelligence menggantikan manusia mengeliminasi penggunaan mesin mengeliminasi gagal beradaptasi
tetep harus belajar dasar juga lah..,tetep harus belajar dasar juga lah,tetap harus belajar dasar juga lah,"['tetap', 'harus', 'belajar', 'dasar', 'juga', 'lah']",belajar dasar
"CUMAN TEKNIK MESIN YANG GA BAKAL KEHILANGAN JOB, SALAM SOLIDARITY FOREVER KAWAN",cuman teknik mesin yang ga bakal kehilangan job salam solidarity forever kawan,cuman teknik mesin yang tidak bakal kehilangan job salam solidarity forever kawan,"['cuman', 'teknik', 'mesin', 'yang', 'tidak', 'bakal', 'kehilangan', 'job', 'salam', 'solidarity', 'forever', 'kawan']",cuman teknik mesin kehilangan job salam solidarity forever kawan
Kata siapa? Semua pekerjaan yang membutuhkan pemikiran manusia udh bisa di kerjain AI dengan biaya yg murah,kata siapa semua pekerjaan yang membutuhkan pemikiran manusia udh bisa di kerjain ai dengan biaya yg murah,kata siapa semua pekerjaan yang membutuhkan pemikiran manusia sudah bisa di kerjain artificialintelligence dengan biaya yang murah,"['kata', 'siapa', 'semua', 'pekerjaan', 'yang', 'membutuhkan', 'pemikiran', 'manusia', 'sudah', 'bisa', 'di', 'kerjain', 'artificialintelligence', 'dengan', 'biaya', 'yang', 'murah']",pekerjaan membutuhkan pemikiran manusia kerjain artificialintelligence biaya murah
"@@canug1962 AI itu pembantu, tapi problem solving tetap dari engineer, contoh teknik mesin , elektro, sipil,",ai itu pembantu tapi problem solving tetap dari engineer contoh teknik mesin elektro sipil,artificialintelligence itu pembantu tapi problem solving tetap dari engineer contoh teknik mesin elektro sipil,"['artificialintelligence', 'itu', 'pembantu', 'tapi', 'problem', 'solving', 'tetap', 'dari', 'engineer', 'contoh', 'teknik', 'mesin', 'elektro', 'sipil']",artificialintelligence pembantu problem solving engineer contoh teknik mesin elektro sipil
"@@VonMisesSS sama hal nya software engineer, problem solving tetap manusia, tapi AI bakal ngpangkas jumlah orang yang bekerja di engineering, makanya kalo value sebuah engineer hanya bisa problem solving berdasarkan text book a.k.a cuman ngikutin resep bakal ke gilas ama AI",sama hal nya software engineer problem solving tetap manusia tapi ai bakal ngpangkas jumlah orang yang bekerja di engineering makanya kalo value sebuah engineer hanya bisa problem solving berdasarkan text book a k a cuman ngikutin resep bakal ke gilas ama ai,sama hal ya software engineer problem solving tetap manusia tapi artificialintelligence bakal ngpangkas jumlah orang yang bekerja di engineering makanya kalau value sebuah engineer hanya bisa problem solving berdasarkan text book a ke a cuman mengikuti resep bakal ke gilas sama artificialintelligence,"['sama', 'hal', 'ya', 'software', 'engineer', 'problem', 'solving', 'tetap', 'manusia', 'tapi', 'artificialintelligence', 'bakal', 'ngpangkas', 'jumlah', 'orang', 'yang', 'bekerja', 'di', 'engineering', 'makanya', 'kalau', 'value', 'sebuah', 'engineer', 'hanya', 'bisa', 'problem', 'solving', 'berdasarkan', 'text', 'book', 'a', 'ke', 'a', 'cuman', 'mengikuti', 'resep', 'bakal', 'ke', 'gilas', 'sama', 'artificialintelligence']",ya software engineer problem solving manusia artificialintelligence ngpangkas orang engineering value engineer problem solving berdasarkan text book a a cuman mengikuti resep gilas artificialintelligence
"@@canug1962 ia mksud sya yg terancam itu programer, kalo mechanical enginer, civil, elektro gitu mah ga akan terancam, justru AI membantu dia biar cepat eksekusi, contoh rancang mobil terbang masa sama AI, jelas konseptor dari mechanical enginer, AI membantu saja dalam menghitung dll",ia mksud sya yg terancam itu programer kalo mechanical enginer civil elektro gitu mah ga akan terancam justru ai membantu dia biar cepat eksekusi contoh rancang mobil terbang masa sama ai jelas konseptor dari mechanical enginer ai membantu saja dalam menghitung dll,ia maksud saya yang terancam itu programmer kalau mechanical enginer civil elektro begitu mah tidak akan terancam justru artificialintelligence membantu dia biar cepat eksekusi contoh rancang mobil terbang masa sama artificialintelligence jelas konseptor dari mechanical enginer artificialintelligence membantu saja dalam menghitung dll,"['ia', 'maksud', 'saya', 'yang', 'terancam', 'itu', 'programmer', 'kalau', 'mechanical', 'enginer', 'civil', 'elektro', 'begitu', 'mah', 'tidak', 'akan', 'terancam', 'justru', 'artificialintelligence', 'membantu', 'dia', 'biar', 'cepat', 'eksekusi', 'contoh', 'rancang', 'mobil', 'terbang', 'masa', 'sama', 'artificialintelligence', 'jelas', 'konseptor', 'dari', 'mechanical', 'enginer', 'artificialintelligence', 'membantu', 'saja', 'dalam', 'menghitung', 'dll']",maksud terancam programmer mechanical enginer civil elektro mah terancam artificialintelligence membantu biar cepat eksekusi contoh rancang mobil terbang artificialintelligence konseptor mechanical enginer artificialintelligence membantu menghitung dll
@@VonMisesSS Ya Programmer yg bener2 programmer mah gak akan terancam. Jangan dikira Programmer dibayar mahal karna dia hapal sintaks. Tapi mereka dibayar mahal karna Problem Solvingnya.,ya programmer yg bener programmer mah gak akan terancam jangan dikira programmer dibayar mahal karna dia hapal sintaks tapi mereka dibayar mahal karna problem solvingnya,ya programmer yang benar programmer mah tidak akan terancam jangan dikira programmer dibayar mahal karena dia hapal sintaks tapi mereka dibayar mahal karena problem solvingnya,"['ya', 'programmer', 'yang', 'benar', 'programmer', 'mah', 'tidak', 'akan', 'terancam', 'jangan', 'dikira', 'programmer', 'dibayar', 'mahal', 'karena', 'dia', 'hapal', 'sintaks', 'tapi', 'mereka', 'dibayar', 'mahal', 'karena', 'problem', 'solvingnya']",ya programmer programmer mah terancam programmer dibayar mahal hapal sintaks dibayar mahal problem solvingnya
Pekerjaan yang akan terus ada di indonesia sampai kiamat<br>Yaitu<br>KORUPTOR,pekerjaan yang akan terus ada di indonesia sampai kiamat yaitu koruptor,pekerjaan yang akan terus ada di indonesia sampai kiamat yaitu koruptor,"['pekerjaan', 'yang', 'akan', 'terus', 'ada', 'di', 'indonesia', 'sampai', 'kiamat', 'yaitu', 'koruptor']",pekerjaan indonesia kiamat koruptor
Nah tuh mending kalian banting setir. Biar saya aja yang tetap jadi programmer 😂,nah tuh mending kalian banting setir biar saya aja yang tetap jadi programmer,nah tuh mending kalian banting setir biar saya saja yang tetap jadi programmer,"['nah', 'tuh', 'mending', 'kalian', 'banting', 'setir', 'biar', 'saya', 'saja', 'yang', 'tetap', 'jadi', 'programmer']",tuh mending banting setir biar programmer
"saat ini dokter2 Radiology lagi panik, karena akan release Radiology 2.0 dgn Ai, dimana para dokter ahli tidak akan perlu lagi Dokter2 Ahli Radiology karena peralatan Radiology akan menjadi sangat mudah di pakai.",saat ini dokter radiology lagi panik karena akan release radiology dgn ai dimana para dokter ahli tidak akan perlu lagi dokter ahli radiology karena peralatan radiology akan menjadi sangat mudah di pakai,saat ini dokter radiology lagi panik karena akan release radiology dengan artificialintelligence dimana para dokter ahli tidak akan perlu lagi dokter ahli radiology karena peralatan radiology akan menjadi sangat mudah di pakai,"['saat', 'ini', 'dokter', 'radiology', 'lagi', 'panik', 'karena', 'akan', 'release', 'radiology', 'dengan', 'artificialintelligence', 'dimana', 'para', 'dokter', 'ahli', 'tidak', 'akan', 'perlu', 'lagi', 'dokter', 'ahli', 'radiology', 'karena', 'peralatan', 'radiology', 'akan', 'menjadi', 'sangat', 'mudah', 'di', 'pakai']",dokter radiology panik release radiology artificialintelligence dimana dokter ahli dokter ahli radiology peralatan radiology mudah pakai
"programmer bakal punah, digantikan AI. makannya, kalian yg punya cita² berprofesi jadi programmer, urungkan niat kalian. cari profesi lain aja. programmer  biar gw dan org² yg udah lama konsisten coding aja yg jalanin profesi ini.<br>.<br>.<br>.<br>.<br>.<br>.<br>. <br>dengan bantuan AI juga tentunya 😂",programmer bakal punah digantikan ai makannya kalian yg punya cita berprofesi jadi programmer urungkan niat kalian cari profesi lain aja programmer biar gw dan org yg udah lama konsisten coding aja yg jalanin profesi ini dengan bantuan ai juga tentunya,programmer bakal punah digantikan artificialintelligence makannya kalian yang punya cita berprofesi jadi programmer urungkan niat kalian cari profesi lain saja programmer biar gue dan orang yang sudah lama konsisten coding saja yang menjalani profesi ini dengan bantuan artificialintelligence juga tentunya,"['programmer', 'bakal', 'punah', 'digantikan', 'artificialintelligence', 'makannya', 'kalian', 'yang', 'punya', 'cita', 'berprofesi', 'jadi', 'programmer', 'urungkan', 'niat', 'kalian', 'cari', 'profesi', 'lain', 'saja', 'programmer', 'biar', 'gue', 'dan', 'orang', 'yang', 'sudah', 'lama', 'konsisten', 'coding', 'saja', 'yang', 'menjalani', 'profesi', 'ini', 'dengan', 'bantuan', 'artificialintelligence', 'juga', 'tentunya']",programmer punah digantikan artificialintelligence makannya cita berprofesi programmer urungkan niat cari profesi programmer biar gue orang konsisten coding menjalani profesi bantuan artificialintelligence
Kalau it Network gmn? Kegantikan sama ai juga kah?,kalau it network gmn kegantikan sama ai juga kah,kalau network bagaimana kegantikan sama artificialintelligence juga kah,"['kalau', 'network', 'bagaimana', 'kegantikan', 'sama', 'artificialintelligence', 'juga', 'kah']",network kegantikan artificialintelligence kah
